age,annual_income,monthly_income_reported,employment_years,credit_score,loan_amount,debt_to_income,num_late_payments,num_credit_cards,has_cosigner,random_noise,defaulted
41.0,63909.0,5185.0,1.0,707.0,44430.0,0.376,1,5,0,-0.192,0
27.0,95937.0,8217.0,3.9,642.0,44843.0,0.343,0,0,1,0.038,0
46.0,95055.0,7866.0,17.4,698.0,50796.0,0.376,0,1,0,-0.322,0
48.0,44898.0,3736.0,5.7,633.0,4143.0,0.152,0,1,0,-1.272,0
21.0,60018.0,5030.0,0.8,717.0,33144.0,0.452,1,2,0,0.03,1
24.0,23771.0,1929.0,2.3,674.0,11845.0,0.119,0,6,0,-0.8,0
39.0,57508.0,4831.0,0.2,658.0,13316.0,0.331,4,2,0,-0.517,0
35.0,38476.0,3179.0,13.8,670.0,5177.0,0.295,1,3,0,0.46,0
38.0,50575.0,4239.0,7.9,767.0,15698.0,0.237,1,3,0,-1.593,0
29.0,25762.0,2122.0,2.0,673.0,2451.0,0.202,1,5,0,-1.112,0
48.0,65991.0,5326.0,2.4,589.0,33037.0,0.355,2,4,0,-0.011,1
47.0,25633.0,2118.0,9.9,689.0,11777.0,0.38,2,2,0,-1.186,0
39.0,58795.0,4962.0,5.8,697.0,43412.0,0.29,0,3,1,-0.644,1
50.0,31671.0,2660.0,9.1,654.0,13877.0,0.271,0,1,1,0.854,0
43.0,37525.0,3129.0,18.4,666.0,22413.0,0.428,1,2,0,-0.281,1
29.0,92477.0,7845.0,5.5,588.0,50676.0,0.258,3,5,1,-0.756,1
42.0,71657.0,5947.0,2.9,668.0,41185.0,0.296,1,1,1,0.783,0
27.0,92247.0,7696.0,5.3,578.0,26313.0,0.28,3,4,1,-1.736,0
48.0,110965.0,9158.0,20.0,652.0,40115.0,0.547,1,4,1,-1.459,0
37.0,38844.0,3299.0,9.0,618.0,5431.0,0.216,1,0,1,-1.379,0
36.0,107972.0,9050.0,15.9,737.0,58073.0,0.383,0,1,0,-0.683,1
31.0,28442.0,2344.0,3.0,770.0,7873.0,0.13,1,2,0,-1.576,0
51.0,76944.0,6221.0,1.8,581.0,35517.0,0.204,1,4,0,1.839,1
36.0,44050.0,3752.0,0.5,660.0,32648.0,0.269,1,1,0,-2.601,1
33.0,36187.0,2971.0,4.3,640.0,20344.0,0.287,2,3,0,0.412,0
34.0,72519.0,6052.0,7.0,696.0,18184.0,0.273,3,2,0,-0.412,1
44.0,84147.0,7342.0,1.9,668.0,36687.0,0.29,2,0,0,0.057,0
42.0,83030.0,7030.0,12.5,639.0,41651.0,0.231,1,3,0,-0.576,0
43.0,60583.0,5211.0,20.3,677.0,41658.0,0.429,0,1,0,-0.236,0
43.0,58365.0,4811.0,18.1,654.0,37664.0,0.2,0,2,1,-0.998,0
62.0,69716.0,5934.0,27.9,785.0,19968.0,0.374,0,4,1,1.18,1
34.0,63056.0,5257.0,9.0,609.0,46645.0,0.368,2,2,1,-1.321,1
32.0,70172.0,5890.0,9.0,683.0,11265.0,0.205,0,3,0,-0.164,0
29.0,60288.0,5227.0,4.5,698.0,15498.0,0.263,0,2,0,2.386,0
45.0,80366.0,6660.0,10.0,696.0,6059.0,0.3,1,3,0,0.783,0
50.0,26446.0,2205.0,9.3,644.0,7496.0,0.468,1,3,0,-1.239,0
37.0,51845.0,4242.0,1.7,757.0,18692.0,0.263,1,4,0,1.273,0
29.0,29506.0,2503.0,4.9,516.0,6815.0,0.662,3,4,0,0.312,1
29.0,62293.0,5133.0,4.2,586.0,3704.0,0.377,3,2,0,-0.457,1
45.0,115146.0,9792.0,3.0,708.0,6665.0,0.334,2,4,1,0.795,0
46.0,44434.0,3581.0,7.0,602.0,33013.0,0.388,1,2,0,1.321,0
44.0,58241.0,4907.0,18.9,604.0,35009.0,0.128,0,1,0,-0.739,0
31.0,77305.0,6359.0,2.7,629.0,44357.0,0.417,1,4,0,-0.465,1
41.0,21690.0,1834.0,8.8,609.0,13867.0,0.168,0,6,0,-0.506,0
39.0,43484.0,3623.0,3.1,706.0,24814.0,0.387,0,0,0,0.559,0
40.0,64804.0,5343.0,3.5,725.0,6227.0,0.241,0,4,0,0.882,0
48.0,15000.0,1240.0,20.9,677.0,11164.0,0.22,0,4,0,0.636,0
40.0,35437.0,2903.0,1.4,735.0,13169.0,0.477,1,1,1,-0.969,0
45.0,90262.0,7648.0,7.3,567.0,35209.0,0.29,2,3,0,1.89,0
39.0,86374.0,7047.0,18.4,675.0,61751.0,0.147,0,0,0,-0.829,0
41.0,65090.0,5395.0,10.1,759.0,13238.0,0.397,0,0,0,0.265,0
45.0,81804.0,6864.0,15.1,736.0,23283.0,0.178,2,2,1,-0.18,0
22.0,60590.0,5212.0,1.3,761.0,41883.0,0.436,2,1,0,-1.055,0
34.0,70616.0,5884.0,2.8,620.0,31053.0,0.298,1,5,0,0.243,0
33.0,47717.0,3957.0,4.7,727.0,17422.0,0.173,0,2,0,0.075,0
31.0,57942.0,4855.0,4.4,632.0,44379.0,0.382,2,3,0,0.702,1
35.0,41379.0,3305.0,3.5,703.0,29649.0,0.352,0,5,0,-0.037,1
54.0,97115.0,7899.0,8.1,756.0,69490.0,0.088,1,3,1,0.233,0
28.0,109075.0,9021.0,5.2,607.0,22813.0,0.294,2,2,0,1.808,0
49.0,102339.0,8407.0,3.1,532.0,69890.0,0.33,1,5,0,-0.184,1
21.0,45773.0,3692.0,0.1,789.0,24833.0,0.324,0,0,0,-1.644,0
34.0,35807.0,3035.0,8.2,698.0,20361.0,0.282,1,2,0,0.932,0
40.0,97707.0,8185.0,8.9,657.0,8390.0,0.374,4,1,0,0.867,0
44.0,70252.0,5871.0,15.0,656.0,32794.0,0.357,0,4,1,-1.403,0
46.0,63764.0,5240.0,0.7,514.0,13641.0,0.303,1,2,0,-1.225,0
47.0,41355.0,3452.0,18.8,684.0,30824.0,0.276,1,2,0,-0.505,0
34.0,66612.0,5608.0,12.0,629.0,31389.0,0.315,0,3,0,-0.926,0
33.0,33749.0,2798.0,6.8,667.0,17315.0,0.24,0,1,0,-0.353,0
47.0,73161.0,6151.0,23.1,674.0,17007.0,0.198,3,3,0,-0.302,0
36.0,102292.0,8389.0,6.4,427.0,37442.0,0.188,6,1,0,-0.098,1
24.0,114583.0,9567.0,0.3,694.0,51225.0,0.29,0,2,0,1.271,0
26.0,75654.0,6449.0,2.1,674.0,49858.0,0.214,1,1,0,2.095,0
28.0,29530.0,2522.0,3.5,684.0,15022.0,0.284,0,1,0,-1.255,0
43.0,60107.0,5142.0,20.3,657.0,8101.0,0.433,2,3,0,0.109,1
40.0,144054.0,12073.0,6.5,667.0,55905.0,0.279,0,3,1,1.096,0
46.0,37206.0,3102.0,8.1,676.0,10107.0,0.314,1,2,1,1.235,0
33.0,53555.0,4423.0,11.8,685.0,24324.0,0.277,0,5,0,-1.45,0
40.0,103899.0,8345.0,5.0,696.0,41806.0,0.431,1,6,1,0.002,0
45.0,72606.0,5888.0,16.0,688.0,4846.0,0.466,2,0,0,0.918,0
35.0,167906.0,13945.0,4.8,792.0,34528.0,0.253,0,0,0,-0.838,0
43.0,39549.0,3289.0,21.9,620.0,21557.0,0.373,0,1,0,-0.622,0
31.0,35232.0,3019.0,2.0,635.0,16145.0,0.509,1,6,0,0.933,0
34.0,95411.0,8160.0,10.1,784.0,8583.0,0.184,1,4,1,-0.471,0
34.0,32111.0,2639.0,7.6,653.0,15999.0,0.398,0,4,0,0.606,0
25.0,50339.0,4264.0,4.7,728.0,21517.0,0.126,0,3,0,1.706,0
43.0,53399.0,4407.0,23.2,681.0,8685.0,0.303,0,3,0,0.222,0
33.0,87666.0,7405.0,10.2,649.0,4512.0,0.286,3,2,0,-0.343,0
38.0,72512.0,6140.0,1.9,730.0,21867.0,0.129,1,1,1,0.66,0
43.0,67560.0,5770.0,10.9,702.0,42885.0,0.409,1,5,1,0.436,0
43.0,45890.0,3786.0,19.6,562.0,6873.0,0.315,4,2,0,-0.492,1
45.0,95020.0,8079.0,16.2,680.0,72056.0,0.207,2,5,0,0.099,0
37.0,300000.0,24064.0,14.9,598.0,137052.0,0.333,1,3,0,0.788,1
33.0,75069.0,6418.0,10.7,754.0,46453.0,0.39,0,3,0,0.269,0
37.0,57523.0,4791.0,5.4,785.0,45020.0,0.123,0,5,0,-0.881,0
21.0,30670.0,2556.0,0.2,791.0,7575.0,0.02,1,3,1,0.82,0
22.0,41284.0,3300.0,0.7,685.0,20111.0,0.296,0,2,0,-0.202,0
23.0,49957.0,4131.0,2.4,629.0,15262.0,0.223,0,2,0,-0.313,1
27.0,43240.0,3701.0,3.4,684.0,4904.0,0.434,0,3,0,-1.626,1
42.0,54604.0,4511.0,1.0,595.0,35226.0,0.263,4,1,0,1.358,1
28.0,122418.0,10347.0,6.0,827.0,7231.0,0.331,0,3,0,0.549,0
34.0,96405.0,8039.0,0.6,744.0,67640.0,0.281,0,3,0,-0.387,1
52.0,51206.0,4358.0,13.2,688.0,33075.0,0.145,1,2,0,0.635,0
34.0,31932.0,2671.0,6.5,733.0,16886.0,0.303,3,4,1,1.119,0
46.0,100399.0,8211.0,13.1,632.0,49532.0,0.167,1,1,1,0.888,0
28.0,53799.0,4488.0,1.1,583.0,36812.0,0.162,1,2,0,-0.337,1
36.0,25290.0,2175.0,11.8,511.0,2321.0,0.19,1,2,0,-0.948,0
28.0,75787.0,6378.0,6.4,669.0,45646.0,0.181,0,1,0,-0.556,0
34.0,87260.0,7255.0,10.0,650.0,16171.0,0.279,0,2,0,0.359,0
47.0,18461.0,1608.0,25.9,709.0,1205.0,0.261,0,3,0,-1.291,0
21.0,37951.0,3236.0,0.3,661.0,10786.0,0.328,2,6,1,1.805,0
43.0,52333.0,4432.0,3.7,695.0,15458.0,0.143,0,4,0,0.328,0
41.0,76544.0,6419.0,1.4,717.0,14885.0,0.275,0,2,1,1.077,0
31.0,43608.0,3687.0,8.3,562.0,25429.0,0.252,1,5,0,-0.891,1
22.0,37821.0,3200.0,0.3,721.0,17745.0,0.32,0,3,1,0.16,0
39.0,76291.0,6080.0,17.6,640.0,56459.0,0.325,2,4,0,-0.582,0
32.0,44549.0,3742.0,7.3,700.0,27677.0,0.316,0,3,0,-1.806,0
41.0,70194.0,5831.0,16.5,740.0,47001.0,0.201,1,3,0,0.606,0
38.0,33353.0,2752.0,7.9,736.0,24244.0,0.302,0,2,0,1.267,0
56.0,29928.0,2484.0,26.2,682.0,19596.0,0.249,1,1,0,2.383,0
35.0,77262.0,6238.0,6.8,676.0,10709.0,0.431,3,2,1,0.3,0
27.0,61619.0,4950.0,3.6,724.0,11653.0,0.311,0,3,0,-0.412,0
40.0,83299.0,7115.0,15.4,563.0,29268.0,0.308,2,3,1,0.907,0
40.0,43279.0,3640.0,4.9,596.0,12943.0,0.172,1,2,0,-0.706,1
53.0,38457.0,3050.0,29.1,655.0,27461.0,0.241,0,1,0,-0.587,0
47.0,101459.0,8357.0,19.5,576.0,44962.0,0.326,3,1,0,-0.071,1
42.0,27716.0,2350.0,16.4,649.0,19594.0,0.292,2,2,0,-0.918,0
54.0,96591.0,8004.0,8.1,641.0,32877.0,0.291,1,2,0,-0.879,0
25.0,99640.0,8510.0,0.4,666.0,72725.0,0.125,0,2,0,1.526,0
31.0,80994.0,6891.0,0.8,656.0,8407.0,0.219,4,3,0,-0.876,0
28.0,40359.0,3272.0,5.1,737.0,15504.0,0.273,2,1,0,0.577,0
34.0,38088.0,3165.0,2.1,701.0,27646.0,0.42,0,1,0,-0.836,0
23.0,50039.0,4133.0,2.9,656.0,19376.0,0.111,2,2,0,-0.149,0
45.0,30709.0,2488.0,24.0,649.0,18411.0,0.196,0,4,0,0.358,0
